word,category,weight
downcast,sad,2
downhearted,sad,2
downside,sad,2
drag,sad,1
dragged,sad,1
drags,sad,1
drained,sad,2
dread,sad,2
dreaded,sad,2
dreadful,sad,3
dreading,sad,2
dream,happy,1
dreams,happy,1
dreary,sad,2
droopy,sad,2
drop,sad,1
drown,sad,2
drowned,sad,2
drowns,sad,2
drunk,sad,2
dubious,sad,2
dud,sad,2
dull,sad,2
dumb,sad,3
dumbass,sad,3
dump,sad,1
dumped,sad,2
dumps,sad,1
dupe,sad,2
duped,sad,2
dysfunction,sad,2
eager,happy,2
earnest,happy,2
ease,happy,2
easy,happy,1
ecstatic,happy,4
eerie,sad,2
eery,sad,2
effective,happy,2
effectively,happy,2
elated,happy,3
elation,happy,3
elegant,happy,2
elegantly,happy,2
embarrass,sad,2
embarrassed,sad,2
embarrasses,sad,2
embarrassing,sad,2
embarrassment,sad,2
embittered,sad,2
embrace,happy,1
emergency,sad,2
empathetic,happy,2
emptiness,sad,1
empty,sad,1
enchanted,happy,2
encourage,happy,2
encouraged,happy,2
encouragement,happy,2
encourages,happy,2
endorse,happy,2
endorsed,happy,2
endorsement,happy,2
endorses,happy,2
enemies,sad,2
enemy,sad,2
energetic,happy,2
engage,happy,1
engages,happy,1
engrossed,happy,1
enjoy,happy,2
enjoying,happy,2
enjoys,happy,2
enlighten,happy,2
enlightened,happy,2
enlightening,happy,2
enlightens,happy,2
ennui,sad,2
enrage,sad,2
enraged,sad,2
enrages,sad,2
enraging,sad,2
enrapture,happy,3
enslave,sad,2
enslaved,sad,2
enslaves,sad,2
ensure,happy,1
ensuring,happy,1
enterprising,happy,1
entertaining,happy,2
enthral,happy,3
enthusiastic,happy,3
entitled,happy,1
entrusted,happy,2
envies,sad,1
envious,sad,2
envy,sad,1
envying,sad,1
erroneous,sad,2
error,sad,2
errors,sad,2
escape,sad,1
escapes,sad,1
escaping,sad,1
esteemed,happy,2
ethical,happy,2
euphoria,happy,3
euphoric,happy,4
eviction,sad,1
evil,sad,3
exaggerate,sad,2
exaggerated,sad,2
exaggerates,sad,2
exaggerating,sad,2
exasperated,happy,2
excellence,happy,3
excellent,happy,3
excite,happy,3
excited,happy,3
excitement,happy,3
exciting,happy,3
exclude,sad,1
excluded,sad,2
exclusion,sad,1
exclusive,happy,2
excuse,sad,1
exempt,sad,1
exhausted,sad,2
exhilarated,happy,3
exhilarates,happy,3
exhilarating,happy,3
exonerate,happy,2
exonerated,happy,2
exonerates,happy,2
exonerating,happy,2
expand,happy,1
expands,happy,1
expel,sad,2
expelled,sad,2
expelling,sad,2
expels,sad,2
exploit,sad,2
exploited,sad,2
exploiting,sad,2
exploits,sad,2
exploration,happy,1
explorations,happy,1
expose,sad,1
exposed,sad,1
exposes,sad,1
exposing,sad,1
extend,happy,1
extends,happy,1
exuberant,happy,4
exultant,happy,3
exultantly,happy,3
fabulous,happy,4
fad,sad,2
fag,sad,3
faggot,sad,3
faggots,sad,3
fail,sad,2
failed,sad,2
failing,sad,2
fails,sad,2
failure,sad,2
failures,sad,2
fainthearted,sad,2
fair,happy,2
faith,happy,1
faithful,happy,3
fake,sad,3
fakes,sad,3
faking,sad,3
fallen,sad,2
falling,sad,1
falsified,sad,3
falsify,sad,3
fame,happy,1
fan,happy,3
fantastic,happy,4
farce,sad,1
fascinate,happy,3
fascinated,happy,3
fascinates,happy,3
fascinating,happy,3
fascist,sad,2
fascists,sad,2
fatalities,sad,3
fatality,sad,3
fatigue,sad,2
fatigued,sad,2
fatigues,sad,2
fatiguing,sad,2
favor,happy,2
favored,happy,2
favorite,happy,2
favorited,happy,2
favorites,happy,2
favors,happy,2
fear,sad,2
fearful,sad,2
fearing,sad,2
fearless,happy,2
fearsome,sad,2
feeble,sad,2
feeling,happy,1
felonies,sad,3
felony,sad,3
fervent,happy,2
fervid,happy,2
festive,happy,2
fiasco,sad,3
fidgety,sad,2
fight,sad,1
fine,happy,2
fire,sad,2
fired,sad,2
firing,sad,2
fit,happy,1
fitness,happy,1
flagship,happy,2
flees,sad,1
flop,sad,2
flops,sad,2
flu,sad,2
flustered,sad,2
focused,happy,2
fond,happy,2
fondness,happy,2
fool,sad,2
foolish,sad,2
fools,sad,2
forced,sad,1
foreclosure,sad,2
foreclosures,sad,2
forget,sad,1
forgetful,sad,2
forgive,happy,1
forgiving,happy,1
forgotten,sad,1
fortunate,happy,2
frantic,sad,1
fraud,sad,4
frauds,sad,4
fraudster,sad,4
fraudsters,sad,4
fraudulence,sad,4
fraudulent,sad,4
free,happy,1
freedom,happy,2
frenzy,sad,3
fresh,happy,1
friendly,happy,2
fright,sad,2
frightened,sad,2
frightening,sad,3
frikin,sad,2
frisky,happy,2
frowning,sad,1
frustrate,sad,2
frustrated,sad,2
frustrates,sad,2
frustrating,sad,2
frustration,sad,2
ftw,happy,3
fuck,sad,4
fucked,sad,4
fucker,sad,4
fuckers,sad,4
